date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2022-03-19 16:00:00,0.55,0.5,0.5,0.49,0.47,0.48,0.59,0.49,0.48,0.53,0.53,0.53,0.51542455,0.53,0.53,0.53000003,0.52,0.56
2022-03-19 16:01:00,0.55,0.5,0.5,0.49,0.47,0.51,0.57,0.5,0.45,0.51,0.51,0.5,0.48951638,0.5,0.5,0.5,0.49,0.54
2022-03-19 16:02:00,0.53,0.5,0.5,0.49,0.5,0.53,0.56,0.47,0.42,0.49,0.49,0.48,0.47706902,0.48,0.48,0.48,0.47,0.52
2022-03-19 16:03:00,0.53,0.5,0.5,0.49,0.54,0.56,0.54,0.43,0.4,0.47,0.47,0.46,0.46787196,0.46,0.46,0.47,0.45,0.5
2022-03-19 16:04:00,0.52,0.5,0.5,0.49,0.54,0.58,0.52,0.43,0.37,0.44,0.44,0.44,0.44088882,0.44,0.44,0.44,0.42,0.47
2022-03-19 16:05:00,0.54,0.5,0.5,0.49,0.5,0.59,0.52,0.39000002,0.38,0.43,0.44,0.43,0.4294625,0.43,0.43,0.44,0.41,0.46
2022-03-19 16:06:00,0.53,0.5,0.5,0.49,0.5,0.62,0.46,0.38,0.34,0.4,0.4,0.4,0.39398366,0.4,0.4,0.41,0.38,0.43
2022-03-19 16:07:00,0.53,0.5,0.5,0.56,0.5,0.63,0.42,0.34,0.32999998,0.37179115,0.34569296,0.39000002,0.37391698,0.39000002,0.39,0.38,0.37,0.42000002
2022-03-19 16:08:00,0.53,0.5,0.5,0.49,0.5,0.65,0.47,0.32,0.32,0.3636449,0.36730927,0.37,0.36879385,0.37,0.38,0.37,0.35,0.4
2022-03-19 16:09:00,0.5,0.5,0.5,0.49,0.54,0.66,0.42,0.34,0.29999998,0.36713272,0.36,0.36,0.35999998,0.36,0.36,0.35,0.35328677,0.38
2022-03-19 16:10:00,0.53,0.5,0.5,0.59,0.49693903,0.68,0.42,0.33,0.29,0.3314822,0.34,0.34,0.34,0.34,0.34,0.33,0.32779613,0.35999998
2022-03-19 16:11:00,0.52,0.5,0.5,0.5024135,0.50220823,0.69,0.39,0.31,0.27999997,0.30770627,0.32000002,0.33,0.32999998,0.32417366,0.33,0.31,0.3007836,0.35
2022-03-19 16:12:00,0.5,0.48797414,0.5,0.49654493,0.5039555,0.71,0.38,0.3,0.27,0.30029857,0.31,0.31,0.31,0.30819574,0.32,0.31,0.29225945,0.32999998
2022-03-19 16:13:00,0.52,0.48945534,0.5,0.5011587,0.5018299,0.71,0.34,0.28,0.26000002,0.2915802,0.31,0.31,0.31,0.30890247,0.32,0.3,0.281143,0.32999998
2022-03-19 16:14:00,0.52,0.48467952,0.5,0.4995336,0.50200105,0.73,0.33,0.3,0.26000002,0.2740687,0.29,0.29,0.29,0.2964064,0.3,0.28,0.26578307,0.3
2022-03-19 16:15:00,0.5,0.48485234,0.5,0.49427795,0.50447166,0.74,0.33,0.26000002,0.26000002,0.25806707,0.27,0.28,0.27,0.2747787,0.28,0.27,0.25344673,0.29
2022-03-19 16:16:00,0.48,0.4850356,0.5,0.4896631,0.50482595,0.75,0.31,0.28,0.26000002,0.2401964,0.26,0.27,0.26,0.250307,0.26999998,0.26,0.25110623,0.26999998
2022-03-19 16:17:00,0.47,0.48731303,0.5,0.48767474,0.5042684,0.75,0.31,0.27,0.25,0.23328474,0.26,0.26000002,0.26,0.23782355,0.26999998,0.25000003,0.2532349,0.26999998
2022-03-19 16:18:00,0.48,0.48473677,0.5,0.4902635,0.50370234,0.76,0.26,0.26000002,0.24000001,0.21837762,0.25,0.25,0.25,0.23252752,0.25,0.25000003,0.23086059,0.26
2022-03-19 16:19:00,0.48,0.5,0.5,0.48885864,0.5041695,0.77,0.29000002,0.24999999,0.22999999,0.21024704,0.24000001,0.24000001,0.23999998,0.22442707,0.25,0.24,0.22903886,0.25
2022-03-19 16:20:00,0.48,0.5,0.5,0.48587748,0.5017148,0.77,0.26,0.23,0.22,0.18963555,0.23000002,0.24000001,0.23999998,0.20679563,0.24000001,0.2127323,0.21174535,0.24
